"idrefformula","idherbsmed","idcrude","composition","unit"
"F00723","J00723","S01128","",""
"F00724","J00724","S00318","",""
"F00724","J00724","S00679","",""
"F00724","J00724","S00724","",""
"F00724","J00724","S00788","",""
"F00724","J00724","S00896","",""
"F00725","J00725","S00812","",""
"F00725","J00725","S00821","",""
"F00725","J00725","S00980","",""
"F00725","J00725","S01025","",""
"F00725","J00725","S01128","",""
"F00726","J00726","S00325","",""
"F00726","J00726","S00562","",""
"F00726","J00726","S00812","",""
"F00726","J00726","S00821","",""
"F00726","J00726","S01128","",""
"F00727","J00727","S00066","",""
"F00727","J00727","S00168","",""
"F00727","J00727","S00183","",""
"F00727","J00727","S00325","",""
"F00727","J00727","S00788","",""
"F00728","J00728","S00066","",""
"F00728","J00728","S00318","",""
"F00728","J00728","S00325","",""
"F00728","J00728","S00429","",""
"F00728","J00728","S00873","",""
"F00729","J00729","S00325","",""
"F00729","J00729","S00788","",""
"F00729","J00729","S00812","",""
"F00729","J00729","S00821","",""
"F00729","J00729","S01128","",""
"F00730","J00730","S00325","",""
"F00730","J00730","S00573","",""
"F00730","J00730","S00812","",""
"F00730","J00730","S00818","",""
"F00730","J00730","S01128","",""
"F00731","J00731","S00151","",""
"F00731","J00731","S00318","",""
"F00731","J00731","S00325","",""
"F00731","J00731","S00483","",""
"F00731","J00731","S01128","",""
"F00732","J00732","S00325","",""
"F00732","J00732","S00537","",""
"F00732","J00732","S00818","",""
"F00732","J00732","S01131","",""
"F00733","J00733","S00318","",""
"F00733","J00733","S00705","",""
"F00733","J00733","S00812","",""
"F00733","J00733","S01128","",""
"F00733","J00733","S01131","",""
"F00734","J00734","S00051","",""
"F00734","J00734","S00697","",""
"F00734","J00734","S00749","",""
"F00734","J00734","S00818","",""
"F00734","J00734","S00821","",""
"F00735","J00735","S00051","",""
"F00735","J00735","S00429","",""
"F00735","J00735","S00756","",""
"F00735","J00735","S00788","",""
"F00736","J00736","S00036","",""
"F00736","J00736","S00404","",""
"F00736","J00736","S00705","",""
"F00737","J00737","S00036","",""
"F00737","J00737","S00051","",""
"F00737","J00737","S00238","",""
"F00737","J00737","S00314","",""
"F00737","J00737","S00317","",""
"F00737","J00737","S00325","",""
"F00737","J00737","S00429","",""
"F00737","J00737","S00562","",""
"F00737","J00737","S00821","",""
"F00737","J00737","S01076","",""
"F00737","J00737","S01123","",""
"F00737","J00737","S01128","",""
"F00738","J00738","S00051","",""
"F00738","J00738","S00066","",""
"F00738","J00738","S00187","",""
"F00738","J00738","S00317","",""
"F00738","J00738","S00429","",""
"F00738","J00738","S01010","",""
"F00739","J00739","S00051","",""
"F00739","J00739","S00151","",""
"F00739","J00739","S00318","",""
"F00739","J00739","S00325","",""
"F00739","J00739","S00429","",""
"F00739","J00739","S00562","",""
"F00739","J00739","S00821","",""
"F00739","J00739","S01128","",""
"F00739","J00739","S01130","",""
"F00740","J00740","S00325","",""
"F00740","J00740","S00787","",""
"F00740","J00740","S00821","",""
"F00740","J00740","S00980","",""
"F00740","J00740","S01128","",""
"F00741","J00741","S00058","",""
"F00741","J00741","S00228","",""
"F00741","J00741","S00281","",""
"F00741","J00741","S01128","",""
"F00742","J00742","S00318","",""
"F00742","J00742","S00483","",""
"F00742","J00742","S00808","",""
"F00742","J00742","S01035","",""
"F00743","J00743","S00058","",""
"F00743","J00743","S00325","",""
"F00743","J00743","S00562","",""
"F00743","J00743","S00821","",""
"F00743","J00743","S01128","",""
"F00744","J00744","S00066","",""
"F00744","J00744","S00573","",""
"F00744","J00744","S00812","",""
"F00744","J00744","S00821","",""
"F00744","J00744","S01128","",""
"F00745","J00745","S00278","",""
"F00745","J00745","S00314","",""
"F00745","J00745","S00703","",""
"F00745","J00745","S00818","",""
"F00746","J00746","S00012","",""
"F00746","J00746","S00172","",""
"F00746","J00746","S00415","",""
"F00746","J00746","S00697","",""
"F00746","J00746","S01103","",""
"F00747","J00747","S00325","",""
"F00747","J00747","S00344","",""
"F00747","J00747","S00536","",""
"F00747","J00747","S01060","",""
"F00748","J00748","S00195","",""
"F00748","J00748","S00429","",""
"F00748","J00748","S00562","",""
"F00748","J00748","S00697","",""
"F00748","J00748","S00821","",""
"F00749","J00749","S00210","",""
"F00749","J00749","S00318","",""
"F00749","J00749","S00344","",""
"F00749","J00749","S00393","",""
"F00749","J00749","S01103","",""
"F00750","J00750","S00344","",""
"F00750","J00750","S00537","",""
"F00750","J00750","S00724","",""
"F00750","J00750","S00788","",""
"F00750","J00750","S00953","",""
"F00751","J00751","S00066","",""
"F00751","J00751","S00344","",""
"F00751","J00751","S00674","",""
"F00751","J00751","S00679","",""
"F00751","J00751","S00697","",""
"F00752","J00752","S00066","",""
"F00752","J00752","S00210","",""
"F00752","J00752","S00674","",""
"F00752","J00752","S01060","",""
"F00753","J00753","S00066","",""
"F00753","J00753","S00317","",""
"F00753","J00753","S00318","",""
"F00753","J00753","S00697","",""
"F00753","J00753","S01062","",""
"F00754","J00754","S00066","",""
"F00754","J00754","S00210","",""
"F00754","J00754","S00344","",""
"F00754","J00754","S00674","",""
"F00754","J00754","S01060","",""
"F00755","J00755","S00562","",""
"F00755","J00755","S00697","",""
"F00755","J00755","S00705","",""
"F00755","J00755","S01020","",""
"F00755","J00755","S01128","",""
"F00756","J00756","S00012","",""
"F00756","J00756","S00393","",""
"F00756","J00756","S00536","",""
"F00756","J00756","S01103","",""
"F00756","J00756","S01130","",""
"F00757","J00757","S00036","",""
"F00757","J00757","S00210","",""
"F00757","J00757","S00818","",""
"F00757","J00757","S00821","",""
"F00757","J00757","S01020","",""
"F00758","J00758","S00060","",""
"F00758","J00758","S00318","",""
"F00758","J00758","S00325","",""
"F00758","J00758","S00415","",""
"F00758","J00758","S00705","",""
"F00759","J00759","S00036","",""
"F00759","J00759","S00066","",""
"F00759","J00759","S00210","",""
"F00759","J00759","S00679","",""
"F00759","J00759","S00697","",""
"F00760","J00760","S00325","",""
"F00760","J00760","S00344","",""
"F00760","J00760","S00788","",""
"F00760","J00760","S01051","",""
"F00760","J00760","S01128","",""
"F00761","J00761","S00066","",""
"F00761","J00761","S00210","",""
"F00761","J00761","S00325","",""
"F00761","J00761","S00377","",""
"F00761","J00761","S00821","",""
"F00762","J00762","S00036","",""
"F00762","J00762","S00318","",""
"F00762","J00762","S00393","",""
"F00762","J00762","S00808","",""
"F00762","J00762","S01060","",""
"F00763","J00763","S00036","",""
"F00763","J00763","S00210","",""
"F00763","J00763","S00318","",""
"F00763","J00763","S01060","",""
"F00763","J00763","S01103","",""
"F00764","J00764","S00012","",""
"F00764","J00764","S00325","",""
"F00764","J00764","S00429","",""
"F00764","J00764","S00705","",""
"F00765","J00765","S00483","",""
"F00765","J00765","S00687","",""
"F00765","J00765","S00808","",""
"F00765","J00765","S00888","",""
"F00766","J00766","S00483","",""
"F00766","J00766","S00687","",""
"F00766","J00766","S00749","",""
"F00766","J00766","S00888","",""
"F00767","J00767","S00012","",""
"F00767","J00767","S00060","",""
"F00767","J00767","S00325","",""
"F00767","J00767","S00705","",""
"F00767","J00767","S00818","",""
"F00768","J00768","S00344","",""
"F00768","J00768","S00429","",""
"F00768","J00768","S00788","",""
"F00768","J00768","S00953","",""
"F00768","J00768","S01103","",""
"F00769","J00769","S00325","",""
"F00769","J00769","S00419","",""
"F00769","J00769","S00705","",""
"F00769","J00769","S00818","",""
"F00769","J00769","S00821","",""
"F00770","J00770","S00012","",""
"F00770","J00770","S00318","",""
"F00770","J00770","S00674","",""
"F00770","J00770","S00749","",""
"F00770","J00770","S00808","",""
"F00771","J00771","S00058","",""
"F00771","J00771","S00066","",""
"F00771","J00771","S00195","",""
"F00771","J00771","S00697","",""
"F00771","J00771","S01128","",""
"F00772","J00772","S00066","",""
"F00772","J00772","S00325","",""
"F00772","J00772","S00344","",""
"F00772","J00772","S00697","",""
"F00772","J00772","S00756","",""
"F00773","J00773","S00066","",""
"F00773","J00773","S00147","",""
"F00773","J00773","S00344","",""
"F00773","J00773","S00573","",""
"F00773","J00773","S00679","",""
"F00774","J00774","S00697","",""
"F00774","J00774","S00705","",""
"F00774","J00774","S01051","",""
"F00774","J00774","S01103","",""
"F00774","J00774","S01128","",""
"F00775","J00775","S00012","",""
"F00775","J00775","S00210","",""
"F00775","J00775","S00318","",""
"F00775","J00775","S00429","",""
"F00775","J00775","S01130","",""
"F00776","J00776","S00429","",""
"F00776","J00776","S00562","",""
"F00776","J00776","S00679","",""
"F00776","J00776","S00788","",""
"F00776","J00776","S00808","",""
"F00777","J00777","S00195","",""
"F00777","J00777","S00429","",""
"F00777","J00777","S00562","",""
"F00777","J00777","S00697","",""
"F00777","J00777","S00821","",""
"F00778","J00778","S00012","",""
"F00778","J00778","S00036","",""
"F00778","J00778","S00705","",""
"F00778","J00778","S00821","",""
"F00778","J00778","S01128","",""
"F00779","J00779","S00344","",""
"F00779","J00779","S00476","",""
"F00779","J00779","S00756","",""
"F00779","J00779","S01130","",""
"F00780","J00780","S00475","",""
"F00780","J00780","S00536","",""
"F00780","J00780","S00740","",""
"F00781","J00781","S00537","",""
"F00781","J00781","S00930","",""
"F00782","J00782","S00272","",""
"F00782","J00782","S00291","",""
"F00782","J00782","S00476","",""
"F00782","J00782","S00827","",""
"F00783","J00783","S00043","",""
"F00783","J00783","S01130","",""
"F00784","J00784","S00003","",""
"F00784","J00784","S00265","",""
"F00784","J00784","S00470","",""
"F00784","J00784","S00562","",""
"F00785","J00785","S00183","",""
"F00785","J00785","S01130","",""
"F00786","J00786","S00100","",""
"F00786","J00786","S00551","",""
"F00787","J00787","S00051","",""
"F00787","J00787","S00192","",""
